BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,MORTDUE_missing_values_flag,VALUE_missing_values_flag,REASON_missing_values_flag,JOB_missing_values_flag,YOJ_missing_values_flag,DEROG_missing_values_flag,DELINQ_missing_values_flag,CLAGE_missing_values_flag,NINQ_missing_values_flag,CLNO_missing_values_flag,DEBTINC_missing_values_flag
1,1100.0,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,1300.0,70053.0,68400.0,HomeImp,Other,7.0,0.0,0.0,121.83333333,0.0,14.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,1500.0,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,1500.0,65019.0,89235.5,DebtCon,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,34.818261819,True,True,True,True,True,True,True,True,True,True,True
0,1700.0,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,1700.0,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,False,False,False,False,False,False,False,False,False,False,False
1,1800.0,48649.0,57037.0,HomeImp,Other,5.0,0.0,0.0,77.1,1.0,17.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,1800.0,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,False,False,False,False,False,False,False,False,False,False,False
1,2000.0,32700.0,46740.0,HomeImp,Other,3.0,0.0,0.0,216.93333333,1.0,12.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2000.0,65019.0,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,34.818261819,True,False,False,False,False,False,False,False,False,False,True
1,2000.0,22608.0,89235.5,DebtCon,Other,18.0,0.0,0.0,173.46666667,1.0,20.0,34.818261819,False,True,True,True,False,True,True,True,True,True,True
1,2000.0,20627.0,29800.0,HomeImp,Office,11.0,0.0,0.0,122.53333333,1.0,9.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2000.0,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
0,2000.0,64536.0,87400.0,DebtCon,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,34.818261819,False,False,True,False,False,False,False,False,False,False,True
1,2100.0,71000.0,83850.0,HomeImp,Other,8.0,0.0,0.0,123.0,0.0,16.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2200.0,24280.0,34687.0,HomeImp,Other,7.0,0.0,0.0,300.86666667,0.0,8.0,34.818261819,False,False,False,False,True,False,False,False,False,False,True
1,2200.0,90957.0,102600.0,HomeImp,Mgr,7.0,0.0,0.0,122.9,1.0,22.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2200.0,23030.0,89235.5,DebtCon,Other,19.0,0.0,0.0,173.46666667,1.0,20.0,14.345367488000003,False,True,True,True,False,True,True,True,True,True,False
1,2300.0,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
0,2300.0,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,False,False,False,False,False,False,False,False,False,False,False
1,2300.0,37626.0,46200.0,HomeImp,Other,3.0,0.0,0.0,122.26666667,1.0,14.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2400.0,50000.0,73395.0,HomeImp,ProfExe,5.0,0.0,0.0,173.46666667,1.0,0.0,34.818261819,False,False,False,False,False,False,False,True,False,False,True
1,2400.0,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2400.0,18000.0,89235.5,HomeImp,Mgr,22.0,0.0,0.0,121.73333333,0.0,10.0,34.818261819,False,True,False,False,False,True,False,False,False,False,True
1,2400.0,65019.0,17180.0,HomeImp,Other,7.0,0.0,0.0,14.566666667,3.0,4.0,34.818261819,True,False,False,False,True,False,False,False,False,False,True
1,2400.0,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,False,False,False,False,False,False,False,False,False,False,False
0,2400.0,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,False,False,False,False,False,False,False,False,False,False,False
1,2500.0,15000.0,20200.0,HomeImp,Other,18.0,0.0,0.0,136.06666667,1.0,19.0,34.818261819,False,False,False,True,False,False,False,False,False,False,True
1,2500.0,25116.0,36350.0,HomeImp,Other,10.0,0.0,0.0,276.96666667,0.0,9.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
0,2500.0,7229.0,44516.0,HomeImp,Self,7.0,0.0,0.0,208.0,0.0,12.0,34.818261819,False,False,False,False,True,False,False,False,False,False,True
0,2500.0,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2800.0,50795.0,63100.0,HomeImp,Self,26.0,0.0,0.0,145.63333333,3.0,42.5,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2800.0,4000.0,60850.0,HomeImp,Other,16.0,0.0,0.0,112.63333333,2.0,9.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,2900.0,78600.0,113000.0,DebtCon,ProfExe,6.0,0.0,0.0,165.33333333,2.0,26.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
0,2900.0,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286,False,False,False,False,False,False,False,False,False,False,False
0,2900.0,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028,False,False,False,False,False,False,False,False,False,False,False
1,2900.0,7750.0,67996.0,HomeImp,Other,16.0,0.0,0.0,122.20466276,2.0,8.0,36.211347998,False,False,False,False,False,False,False,False,False,False,False
1,2900.0,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.80165924,3.0,37.0,49.20639579,False,False,False,False,False,False,False,False,False,False,False
0,3000.0,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267,False,False,False,False,False,False,False,False,False,False,False
1,3000.0,7000.0,20300.0,HomeImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,3000.0,65019.0,8800.0,HomeImp,Other,2.0,0.0,0.0,77.766666667,0.0,3.0,34.818261819,True,False,False,False,False,False,False,False,False,False,True
1,3000.0,65019.0,33000.0,HomeImp,Other,1.0,0.0,0.0,23.3,1.0,2.0,34.818261819,True,False,False,False,False,False,False,False,False,False,True
1,3000.0,119826.0,193500.0,HomeImp,Other,8.0,0.0,0.0,130.03335846,0.0,27.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,3000.0,20000.0,29750.0,DebtCon,Other,2.0,0.0,0.0,187.06666667,0.0,12.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,3000.0,65019.0,14500.0,HomeImp,Other,3.0,0.0,0.0,9.3,5.0,2.0,34.818261819,True,False,False,False,False,False,False,False,False,False,True
1,3000.0,65019.0,14100.0,HomeImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,34.818261819,True,False,False,False,False,False,False,False,False,False,True
1,3000.0,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,0.0,262.16666667,5.0,26.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
1,3000.0,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,0.0,62.366666667,0.0,10.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
0,3000.0,58000.0,71500.0,HomeImp,Mgr,10.0,0.0,0.0,211.93333333,0.0,25.0,34.818261819,False,False,False,False,False,True,False,False,False,False,True
0,3000.0,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,201.86666667,0.0,20.0,34.818261819,False,False,False,False,False,False,False,False,False,False,True
